DATE,WILL5000PRFC
2019-12-02,31735.41
2019-12-03,31540.70
2019-12-04,31727.96
2019-12-05,31757.91
2019-12-06,32038.99
2019-12-09,31948.37
2019-12-10,31921.95
2019-12-11,32001.44
2019-12-12,32258.96
2019-12-13,32241.17
2019-12-16,32479.29
2019-12-17,32503.67
2019-12-18,32508.33
2019-12-19,32654.30
2019-12-20,32811.23
2019-12-23,32840.80
2019-12-24,32844.52
2019-12-25,.
2019-12-26,33006.66
2019-12-27,32976.82
2019-12-30,32788.76
2019-12-31,32886.74
2020-01-01,.
2020-01-02,33142.20
2020-01-03,32943.34
2020-01-06,33064.53
2020-01-07,32987.67
2020-01-08,33134.99
2020-01-09,33333.21
2020-01-10,33236.50
2020-01-13,33487.14
2020-01-14,33469.83
2020-01-15,33534.19
2020-01-16,33827.74
2020-01-17,33917.32
2020-01-20,.
2020-01-21,33817.59
2020-01-22,33828.63
2020-01-23,33862.47
2020-01-24,33539.56
2020-01-27,33029.12
2020-01-28,33357.52
2020-01-29,33322.06
2020-01-30,33418.14
2020-01-31,32838.17
2020-02-03,33098.64
2020-02-04,33609.70
2020-02-05,33923.75
2020-02-06,34012.13
2020-02-07,33827.92
2020-02-10,34070.18
2020-02-11,34170.95
2020-02-12,34403.24
2020-02-13,34369.85
2020-02-14,34428.39
2020-02-17,.
2020-02-18,34363.17
2020-02-19,34533.95
2020-02-20,34434.66
2020-02-21,34066.28
2020-02-24,32937.51
2020-02-25,31921.35
2020-02-26,31741.79
2020-02-27,30385.63
2020-02-28,30125.07
2020-03-02,31416.62
2020-03-03,30571.01
2020-03-04,31783.77
2020-03-05,30719.90
2020-03-06,30157.86
2020-03-09,27774.99
2020-03-10,29088.18
2020-03-11,27598.91
2020-03-12,24909.13
2020-03-13,27142.53
2020-03-16,23819.34
2020-03-17,25183.59
2020-03-18,23732.34
2020-03-19,24064.36
2020-03-20,23082.46
2020-03-23,22463.62
2020-03-24,24542.52
2020-03-25,24878.59
2020-03-26,26385.40
2020-03-27,25500.56
2020-03-30,26275.33
2020-03-31,25899.94
2020-04-01,24711.84
2020-04-02,25201.30
2020-04-03,24782.75
2020-04-06,26532.87
2020-04-07,26522.20
2020-04-08,27457.03
2020-04-09,27938.93
2020-04-10,.
2020-04-13,27647.77
2020-04-14,28477.39
2020-04-15,27837.90
2020-04-16,27984.95
2020-04-17,28760.23
2020-04-20,28286.09
2020-04-21,27433.75
2020-04-22,28061.36
2020-04-23,28096.60
2020-04-24,28483.89
2020-04-27,28990.17
2020-04-28,28876.23
2020-04-29,29719.03
2020-04-30,29365.43
